Orthogroup	Best Gene Name	Gene Name Occurrences
OG0000000	ABC transporter ATP-binding protein	{'Fluoroquinolones export ATP-binding protein/MT2762': 2, 'Sulfate/thiosulfate import ATP-binding protein CysA': 2, 'Zinc import ATP-binding protein ZnuC': 3, 'ABC transporter ATP-binding protein YtrE': 2, 'Glutamine transport ATP-binding protein GlnQ': 70, 'Iron import ATP-binding/permease protein IrtB': 1, 'Lipopolysaccharide export system ATP-binding protein LptB': 13, 'Fluoroquinolones export ATP-binding protein': 1, 'Oligopeptide transport ATP-binding protein OppF': 1, 'Putative multidrug export ATP-binding/permease protein': 1, 'Bicarbonate transport ATP-binding protein CmpC': 1, 'Methionine import ATP-binding protein MetN 2': 12, 'Arginine transport ATP-binding protein ArtM': 38, 'Macrolide export ATP-binding/permease protein MacB': 6, 'ABC transporter ATP-binding protein YtrB': 1, 'phosphonate ABC transporter ATP-binding protein': 36, 'ABC transporter ATP-binding protein, partial': 2, 'Oligopeptide transport ATP-binding protein OppD': 1, 'L-cystine import ATP-binding protein TcyC': 10, 'SkfA peptide export ATP-binding protein SkfE': 5, 'Choline transport ATP-binding protein OpuBA': 1, 'putative ABC transporter ATP-binding protein/MT1014': 1, 'Bacitracin export ATP-binding protein BceA': 1, 'ABC transporter ATP-binding protein': 292, 'Taurine import ATP-binding protein TauB': 2, 'Nickel import ATP-binding protein NikO': 2, 'amino acid ABC transporter ATP-binding protein': 250, 'putative siderophore transport system ATP-binding protein YusV': 14, 'Tungstate uptake system ATP-binding protein TupC': 2, 'Iron(3+)-hydroxamate import ATP-binding protein FhuC': 3, 'Doxorubicin resistance ATP-binding protein DrrA': 3, 'Methionine import ATP-binding protein MetN': 20, 'anchored repeat-type ABC transporter ATP-binding subunit': 1, 'ATP-binding cassette domain-containing protein': 127, 'molybdate transporter ATP-binding protein': 1, 'High-affinity zinc uptake system ATP-binding protein ZnuC': 21, 'heme ABC exporter ATP-binding protein CcmA': 2, 'metal ABC transporter ATP-binding protein': 44, 'Energy-coupling factor transporter ATP-binding protein EcfA1': 2, 'Bicarbonate transport ATP-binding protein CmpD': 3, 'ABC-type transporter ATP-binding protein EcsA': 1, 'Galactose/methyl galactoside import ATP-binding protein MglA': 1, 'putative ABC transporter ATP-binding protein': 2, 'Daunorubicin/doxorubicin resistance ATP-binding protein DrrA': 32, 'putative ABC transporter ATP-binding protein YxlF': 13, 'Phosphate-import ATP-binding protein PhnC': 4, 'methionine ABC transporter ATP-binding protein': 2, 'putative amino-acid import ATP-binding protein YxeO': 5, 'putative ABC transporter ATP-binding protein/MT0079': 1, 'ABC transporter ATP-binding protein YxdL': 1, 'L-cystine import ATP-binding protein TcyN': 7, 'putative ABC transporter ATP-binding protein YbhF': 23, 'Cobalt import ATP-binding protein CbiO': 3, 'Aliphatic sulfonates import ATP-binding protein SsuB': 10, 'Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA': 1}
OG0000001	IS30 family transposase, partial	{'IS30 family transposase': 144, 'IS30 family transposase, partial': 518, 'Integrase core domain protein': 4, 'hypothetical protein': 6}
OG0000002	IS5/IS1182 family transposase, partial	{'IS5 family transposase': 106, 'IS5/IS1182 family transposase, partial': 326, 'IS5 family transposase, partial': 81, 'hypothetical protein': 10, 'transposase, partial': 8, 'transposase': 9, 'Transposase DDE domain protein': 28}
OG0000003	IS30 family transposase, partial	{'IS30 family transposase, partial': 221, 'IS30 family transposase': 126, 'helix-turn-helix domain-containing protein, partial': 114, 'Integrase core domain protein': 47, 'hypothetical protein': 15}
OG0000004	acetyltransferase	{'IMP cyclohydrolase': 16, 'transcriptional regulator': 59, 'alpha-galactosidase, partial': 1, 'alpha-galactosidase': 133, 'hypothetical protein': 72, 'ATP-dependent nuclease subunit B': 10, 'Malolactic regulator': 2, 'acetyltransferase': 148}
OG0000005	peptide ABC transporter substrate-binding protein	{'ABC transporter substrate-binding protein': 2, 'putative D,D-dipeptide-binding periplasmic protein DdpA precursor': 1, 'Oligopeptide-binding protein OppA': 4, 'Oligopeptide-binding protein OppA precursor': 29, 'Dipeptide-binding protein DppE': 2, 'Periplasmic murein peptide-binding protein': 1, 'Putative binding protein YgiS precursor': 4, 'peptide ABC transporter substrate-binding protein': 225, 'Periplasmic oligopeptide-binding protein precursor': 2, 'hypothetical protein': 4, 'Dipeptide-binding protein DppE precursor': 59}
OG0000006	IS30 family transposase, partial	{'IS30 family transposase, partial': 180, 'IS30 family transposase': 10, 'IS30-like element ISLpl1 family transposase, partial': 20, 'DDE-type integrase/transposase/recombinase, partial': 1, 'helix-turn-helix domain-containing protein, partial': 10, 'Integrase core domain protein': 47, 'IS30-like element ISLsa1 family transposase': 7, 'hypothetical protein': 9, 'IS30-like element ISLpl1 family transposase': 47}
OG0000007	alpha-glucosidase	{'glycoside hydrolase family 13 protein': 2, 'Glucan 1,6-alpha-glucosidase': 8, 'alpha,alpha-phosphotrehalase': 61, 'alpha-glucosidase': 198, 'Oligo-1,6-glucosidase': 31, 'Trehalose synthase/amylase TreS': 1, 'Oligo-1,6-glucosidase 1': 1, 'Trehalose-6-phosphate hydrolase': 16}
OG0000008	transposase, partial	{'ISL3 family transposase, partial': 44, 'Transposase': 35, 'transposase, partial': 98, 'hypothetical protein': 28, 'transposase family protein, partial': 3, 'transposase': 11, 'ISL3 family transposase': 73}
OG0000009	glycosyltransferase family 2 protein	{'glycosyltransferase': 34, 'Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase': 1, 'glycosyltransferase family 2 protein, partial': 8, 'Putative glycosyltransferase EpsE': 3, 'Putative teichuronic acid biosynthesis glycosyltransferase TuaG': 4, 'Putative glycosyltransferase EpsH': 29, 'Chondroitin synthase': 1, 'Glycosyltransferase-stabilizing protein Gtf2': 1, 'UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD': 2, 'hypothetical protein': 8, 'putative glycosyltransferase EpsJ': 27, 'Hyaluronan synthase': 2, 'Poly-beta-1,6-N-acetyl-D-glucosamine synthase': 1, 'glycosyltransferase family 2 protein': 154}
OG0000010	D-2-hydroxyacid dehydrogenase	{'D-2-hydroxyacid dehydrogenase, partial': 2, 'Glyoxylate/hydroxypyruvate reductase B': 7, 'Glycerate dehydrogenase': 7, 'C-terminal binding protein': 1, 'Formate dehydrogenase': 2, 'hydroxyacid dehydrogenase': 45, 'D-lactate dehydrogenase': 34, '(S)-sulfolactate dehydrogenase': 2, 'hydroxyacid dehydrogenase, partial': 2, 'D-2-hydroxyisocaproate dehydrogenase': 14, 'Putative 2-hydroxyacid dehydrogenase': 16, 'phosphoglycerate dehydrogenase': 4, 'Hydroxypyruvate reductase': 3, 'D-2-hydroxyacid dehydrogenase': 102, '3-phosphoglycerate dehydrogenase': 1, 'Phenyllactate dehydrogenase': 4, 'D-glycerate dehydrogenase': 2, 'lactate dehydrogenase': 1, 'hypothetical protein': 1, 'D-3-phosphoglycerate dehydrogenase': 20}
OG0000011	multidrug efflux MFS transporter	{'putative transporter': 1, 'Riboflavin transporter RibZ': 1, 'Multidrug resistance protein 3': 6, 'putative multidrug resistance protein EmrY': 11, 'Major Facilitator Superfamily protein': 1, 'putative transport protein HsrA': 21, 'hypothetical protein': 4, 'Multidrug export protein EmrB': 28, 'Multidrug resistance protein stp': 1, 'Antiseptic resistance protein': 1, 'multidrug efflux MFS transporter': 190}
OG0000012	IS5/IS1182 family transposase, partial	{'IS5 family transposase': 2, 'IS5/IS1182 family transposase, partial': 84, 'IS5 family transposase, partial': 66, 'hypothetical protein': 31, 'transposase, partial': 46, 'transposase': 27}
OG0000013	IS3 family transposase	{'DDE-type integrase/transposase/recombinase': 1, 'IS3 family transposase, partial': 2, 'Transposon Tn7 transposition protein TnsB': 1, 'IS3-like element IS1163 family transposase': 1, 'DDE-type integrase/transposase/recombinase, partial': 19, 'hypothetical protein': 77, 'Integrase core domain protein': 53, 'IS3 family transposase': 90, 'transposase': 3, 'IS2 transposase TnpB': 7}
OG0000014	response regulator transcription factor	{'Transcriptional regulatory protein WalR': 5, 'Response regulator ArlR': 2, 'Alkaline phosphatase synthesis transcriptional regulatory protein PhoP': 16, 'Response regulator MprA': 6, 'Sensory transduction protein regX3': 6, 'Response regulator SaeR': 1, 'Transcriptional regulatory protein TcrA': 2, 'Heme response regulator HssR': 1, 'KDP operon transcriptional regulatory protein KdpE': 2, 'DNA-binding response regulator MtrA': 4, 'Transcriptional regulatory protein YycF': 18, 'response regulator transcription factor': 186, 'Phosphate regulon transcriptional regulatory protein PhoB': 2}
OG0000015	PTS beta-glucoside transporter subunit EIIBCA	{'PTS system glucose-specific EIIA component': 3, 'PTS system glucoside-specific EIICBA component': 1, 'Lactose permease': 1, 'PTS beta-glucoside transporter subunit EIIBCA': 58, 'PTS beta-glucoside transporter subunit IIBCA': 42, 'PTS system beta-glucoside-specific EIIBCA component': 39, 'Glucose-specific phosphotransferase enzyme IIA component': 13, 'PTS glucose transporter subunit IIA': 55, 'hypothetical protein': 1, 'Negative regulator of SacY activity': 2, 'PTS system trehalose-specific EIIBC component': 9, 'PTS system glucose-specific EIICBA component': 3, 'PTS beta-glucoside transporter subunit IIABC': 15}
OG0000016	PTS lactose/cellobiose transporter subunit IIA	"{'Lichenan-specific phosphotransferase enzyme IIA component': 25, ""N,N'-diacetylchitobiose-specific phosphotransferase enzyme IIA component"": 2, 'PTS lactose/cellobiose transporter subunit IIA': 194, 'Lactose-specific phosphotransferase enzyme IIA component': 12, 'PTS system lactose-specific EIIA component': 3, 'PTS system cellobiose-specific EIIA component': 1, 'PTS lactose transporter subunit IIA': 1}"
OG0000017	IS6 family transposase, partial	{'IS6 family transposase, partial': 103, 'Transposase IS66 family protein': 2, 'DDE-type integrase/transposase/recombinase, partial': 2, 'hypothetical protein': 17, 'Integrase core domain protein': 22, 'IS6 family transposase': 84}
OG0000018	MFS transporter	{'multidrug resistance protein MdtH': 1, 'Riboflavin transporter RibZ': 1, 'DHA2 family efflux MFS transporter permease subunit': 2, 'putative multidrug resistance protein EmrY': 1, 'putative MFS-type transporter EfpA': 5, 'putative transport protein HsrA': 6, 'hypothetical protein': 3, 'MFS transporter': 140, 'Multidrug export protein EmrB': 8, 'Multidrug resistance protein stp': 19, 'Antiseptic resistance protein': 6, 'Multidrug resistance protein 3': 36}
OG0000019	aldo/keto reductase	{'putative oxidoreductase/MSMEI_2346': 3, 'aldo/keto reductase': 132, 'putative oxidoreductase YtbE': 9, 'Morphine 6-dehydrogenase': 1, 'Glyoxal reductase': 33, 'putative oxidoreductase/MSMEI_2347': 27, '2,5-diketo-D-gluconic acid reductase B': 16, '2,5-diketo-D-gluconic acid reductase A': 6}
OG0000020	ParA family protein	{'ParA family protein': 165, 'Sporulation initiation inhibitor protein Soj': 35, 'CobQ/CobB/MinD/ParA nucleotide binding domain protein': 1, 'Flagellum site-determining protein YlxH': 4, 'AAA family ATPase': 1, 'Chromosome-partitioning ATPase Soj': 4, 'Mrp/NBP35 family ATP-binding protein': 2, 'Chromosome partitioning protein ParA': 12}
OG0000021	recombinase family protein	{'Transposon gamma-delta resolvase': 2, 'recombinase family protein': 114, 'recombinase family protein, partial': 39, 'DNA-invertase hin': 15, 'hypothetical protein': 6, 'Serine recombinase PinR': 1, 'Putative DNA-invertase from lambdoid prophage Rac': 11, 'Putative transposon Tn552 DNA-invertase bin3': 32}
OG0000022	glycoside hydrolase family 1 protein	{'beta-glucosidase': 2, 'glycosyl hydrolase family protein': 29, 'glycoside hydrolase family 1 protein': 53, '6-phospho-beta-glucosidase': 51, 'Beta-glucosidase A': 1, '6-phospho-beta-glucosidase BglA': 7, 'Aryl-phospho-beta-D-glucosidase BglH': 37, 'Aryl-phospho-beta-D-glucosidase BglA': 23, 'Bifunctional beta-D-glucosidase/beta-D-fucosidase': 2, 'Aryl-phospho-beta-D-glucosidase BglC': 11}
OG0000023	ABC transporter ATP-binding protein	{'putative ABC transporter ATP-binding protein YknY': 3, 'ABC transporter ATP-binding protein YxdL': 13, 'ABC transporter ATP-binding protein YtrE': 1, 'Bacitracin export ATP-binding protein BceA': 20, 'putative ABC transporter ATP-binding protein/MT1014': 1, 'Lipoprotein-releasing system ATP-binding protein LolD': 3, 'ABC transporter ATP-binding protein': 165, 'Bicarbonate transport ATP-binding protein CmpD': 1, 'Putative multidrug export ATP-binding/permease protein': 1, 'Macrolide export ATP-binding/permease protein MacB': 6, 'ATP-binding cassette domain-containing protein': 1}
OG0000024	LytR family transcriptional regulator	{'Transcriptional regulator LytR': 33, 'transcriptional regulator': 28, 'LytR family transcriptional regulator': 108, 'Putative transcriptional regulator YwtF': 2, 'Putative transcriptional regulator YvhJ': 2, 'LCP family protein': 6, 'hypothetical protein': 2, 'Biofilm regulatory protein A precursor': 26, 'Regulatory protein MsrR': 3}
OG0000025	PTS sugar transporter subunit IIC	"{'PTS cellobiose transporter subunit IIC': 43, 'Oligo-beta-mannoside permease IIC component': 22, ""N,N'-diacetylchitobiose permease IIC component"": 2, 'Lichenan permease IIC component': 33, 'PTS system oligo-beta-mannoside-specific EIIC component': 1, 'PTS sugar transporter subunit IIC': 104, ""PTS system N,N'-diacetylchitobiose-specific EIIC component"": 1}"
OG0000026	ATP-dependent Clp protease ATP-binding subunit	{'ATP-dependent chaperone ClpB': 46, 'ATP-dependent Clp protease ATP-binding subunit': 91, 'ATP-dependent Clp protease ATP-binding subunit ClpC': 13, 'ATP-dependent Clp protease ATP-binding subunit ClpE': 22, 'ATP-dependent Clp protease ATP-binding subunit ClpC1': 3, 'Negative regulator of genetic competence ClpC/MecB': 8, 'Chaperone protein ClpB': 19}
OG0000027	cold-shock protein	{'Cold shock protein CspB': 2, 'Cold shock-like protein CspA': 1, 'cold shock domain-containing protein': 44, 'Cold shock-like protein 7.0': 1, 'Cold shock protein CspC': 6, 'Cold shock-like protein CspLA': 24, 'Cold shock-like protein CspG': 3, 'Cold shock protein 1': 8, 'Cold shock protein CspD': 1, 'Cold shock protein 2': 5, 'Cold shock-like protein CspE': 1, 'Cold shock protein CspA': 3, 'Cold shock-like protein': 4, 'Cold shock protein CspV': 1, 'cold-shock protein': 92, 'Cold shock protein ScoF': 1}
OG0000028	ABC transporter substrate-binding protein	{'ABC transporter substrate-binding protein': 156, 'Multiple sugar-binding protein precursor': 3, 'Putative ABC transporter substrate-binding protein YesO': 3, 'putative arabinose-binding protein precursor': 1, 'sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor': 15, 'sn-glycerol-3-phosphate-binding periplasmic protein UgpB': 3, 'Lactose-binding protein precursor': 1, 'hypothetical protein': 1, 'Bacterial extracellular solute-binding protein': 2, 'Maltose/maltodextrin-binding protein precursor': 1, 'putative ABC transporter-binding protein precursor': 4, 'glycerol-3-phosphate transporter periplasmic binding protein': 1, 'extracellular solute-binding protein': 2, 'sugar ABC transporter substrate-binding protein': 3}
OG0000029	glycosyltransferase family 2 protein	{'glycosyltransferase': 41, 'Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase': 2, 'putative glycosyltransferase': 1, 'Undecaprenyl-phosphate mannosyltransferase': 1, 'Putative glycosyltransferase CsbB': 25, 'hypothetical protein': 5, 'glycosyltransferase family 2 protein': 108, 'putative glycosyltransferase YkoT': 8}
OG0000030	pyruvate oxidase	{'Pyruvate dehydrogenase': 2, 'Acetolactate synthase large subunit': 7, 'pyruvate oxidase': 130, 'acetolactate synthase large subunit': 2, 'hypothetical protein': 1, 'pyruvate dehydrogenase': 2, 'Putative thiamine pyrophosphate-containing protein YdaP': 8, 'Acetolactate synthase large subunit IlvB1': 2, 'Pyruvate oxidase': 36}
OG0000031	carbohydrate ABC transporter permease	{'sugar ABC transporter permease': 27, 'carbohydrate ABC transporter permease': 94, 'Trehalose transport system permease protein SugB': 8, 'Maltose transport system permease protein MalG': 12, 'Inner membrane ABC transporter permease protein YcjP': 3, 'Lactose transport system permease protein LacG': 2, 'L-arabinose transport system permease protein AraQ': 44}
OG0000032	glycosyltransferase	{'glycosyltransferase': 133, 'GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase': 1, 'accessory Sec system glycosyltransferase Asp1': 6, 'Poly(glycerol-phosphate) alpha-glucosyltransferase': 1, 'glycosyltransferase family 4 protein': 1, 'GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase': 1, 'Glycosyltransferase Gtf1': 22, 'putative poly(glycerol-phosphate) alpha-glucosyltransferase': 20, 'poly(glycerol-phosphate) alpha-glucosyltransferase': 4}
OG0000033	ABC transporter permease	{'Dipeptide transport system permease protein DppB': 11, 'Glutathione transport system permease protein GsiC': 21, 'Nickel transport system permease protein NikB': 2, 'ABC transporter permease': 130, 'Oligopeptide transport system permease protein OppB': 22}
OG0000034	IS3 family transposase	{'helix-turn-helix domain-containing protein': 1, 'IS3 family transposase, partial': 41, 'Transposase': 24, 'helix-turn-helix domain-containing protein, partial': 6, 'transposase, partial': 40, 'hypothetical protein': 19, 'IS3 family transposase': 44, 'transposase': 11}
